Category,Audience,Name,Channel,Enabled,Document,Recipient Type,Recipient Field / Role,Day,Trigger,Attachment,Sending Conditions,Implementation,Subject,Current Message (plain text)
Trial,Customer / Lead,AI SaaS - Trial - Último dia amanhã,Email,1,Contract,Customer,TO: contact_email,-1 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),Amanhã é o último dia do período experimental,"{{ mz_greeting(doc.mz_contact_name) }} Amanhã, {{ data }} , o acesso à conta da {{ doc.party_name }} pausa. Os dados ficam intactos e a reactivação é imediata — mas evite a interrupção: activar hoje demora um minuto e a facturação só começa amanhã. Activar a minha conta A sua conta: {{ doc.mz_tenant_url }} Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature(doc.mz_account_manager) }}"
Trial,Customer / Lead,AI SaaS - SMS Trial Hoje,SMS,1,Contract,Customer,TO: mz_contact_mobile,-0 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.mz_contact_mobile",Frappe Notification (fixture),SMS Trial Hoje,MozEconomia Cloud: o periodo experimental da {{ doc.party_name }} termina hoje. Active em 1 minuto: {{ get_activation_url(doc.name) }} · WhatsApp 87 4444 645
Trial,Customer / Lead,AI SaaS - Trial - Hoje,Email,1,Contract,Customer,TO: contact_email,-0 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),Hoje termina o período experimental da {{ doc.party_name }},"{{ mz_greeting(doc.mz_contact_name) }} Hoje termina o período experimental da {{ doc.party_name }} . Sem activação, o acesso pausa amanhã de manhã. Tem {{ n }} factura s nesta conta. Nada se perde, mas tudo pára. Active agora — ou responda a este email: respondemos hoje. Activar a minha conta A sua conta: {{ doc.mz_tenant_url }} Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature(doc.mz_account_manager) }}"
Trial,Customer / Lead,AI SaaS - Trial - Primeira factura,Email,1,Contract,Customer,TO: contact_email,+2 from creation,"Daily scheduler, Days After creation",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),A sua primeira factura em 5 minutos,"{{ mz_greeting(doc.mz_contact_name) }} A conta da {{ doc.party_name }} está pronta em {{ doc.mz_tenant_url }} . A forma mais rápida de ver o que a MozEconomia Cloud faz por si é emitir a primeira factura hoje — leva 5 minutos: Entrar → Vendas → Factura de Venda → Nova. Escolha o cliente (pode criá-lo na hora), o artigo, a quantidade e o preço. Guardar e Submeter. A factura sai com o QR de validação, pronta a enviar por email ou imprimir. Quando o cliente pagar, registe o pagamento em dois cliques e o extracto fica em dia sozinho. Emitir a primeira factura 20 minutos connosco: emitimos a primeira factura consigo, sem custo — marcar 20 minutos . Tem até {{ frappe.format_date(doc.start_date) }} para experimentar tudo. Nada do que registar se perde quando activar. Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature(doc.mz_account_manager) }}"
Trial — usage signals,Internal (MozEconomia),Relatório diário de utilização dos trials,Email,1,MZ Tenant Usage Snapshot,Internal,TO: MZ SaaS Settings.usage_report_recipients; fallback default_sales_user email; fallback ops_alert_recipients,"daily, after the sweep",End of the daily (unscoped) usage sweep; also manual: bench execute ai_saas.saas.usage_signals.send_daily_usage_report,No,At least one trial snapshot for the day,frappe.sendmail from code + templates/emails/daily_usage_report.html,Trials {{ date }}: N activos · X quentes · Y a arrefecer · Z frios,Relatório diário de utilização dos trials — {{ date }}. N trial(s) em curso · X quente(s) · Y a arrefecer · Z frio(s). Tabela: Empresa (link à Oportunidade) + site · Termina em · Dias · Facturas · Dias c/ fact. (7d) · Utiliz. activos (7d) · Dados próprios · Outros docs (30d) · Último login · Pontos · Sinal · Responsável. Linhas sem leitura mostram o erro. Rodapé explica Quente / A arrefecer / Frio.
Trial — usage signals,Internal (MozEconomia),Sinal: Lead a arrefecer,ToDo (desk) + Email,1,Opportunity,Internal,"allocated_to: Opportunity assignee, else default_sales_user — email to that user's address",daily,"evaluate_signals → Cooling (was active, 7+ days no login, no invoice this week)",No,Stage changed to 'Cloud - Trial At Risk',ToDo insert + frappe.sendmail (saas/crm.py),[MozEconomia Cloud] [Lead a arrefecer] {{ party_name }},[Lead a arrefecer] {{ party_name }} esteve activo e parou: sem login há 7+ dias e sem facturas esta semana (trial termina em {{ start_date }}). Contactar antes que expire.
Trial — usage signals,Internal (MozEconomia),Sinal: Lead frio,ToDo (desk) + Email,1,Opportunity,Internal,"allocated_to: Opportunity assignee, else default_sales_user — email to that user's address",daily,"evaluate_signals → Cold (past trial midpoint, no invoice, no own master data)",No,Stage changed to 'Cloud - Trial At Risk',ToDo insert + frappe.sendmail (saas/crm.py),[MozEconomia Cloud] [Lead frio] {{ party_name }},[Lead frio] {{ party_name }} está a meio do trial (termina em {{ start_date }}) sem nenhum login nem factura. Contactar antes que expire.
Trial — usage signals,Internal (MozEconomia),Sinal: Lead quente,ToDo (desk) + Email,1,Opportunity,Internal,"allocated_to: Opportunity assignee, else MZ SaaS Settings.default_sales_user — email to that user's address",daily,usage_signals.evaluate_signals → Engaged (score ≥ 3),No,Stage changed to 'Cloud - Trial Engaged'; one open ToDo per marker,ToDo insert + frappe.sendmail (saas/crm.py),[MozEconomia Cloud] [Lead quente] {{ party_name }},[Lead quente] {{ party_name }} está a usar o sistema a sério ({{ points }} pontos): {{ reasons }}. Contactar para activação.
Activation / onboarding,Customer / Lead,MozEconomia Cloud - Conta Activada,Email,1,Contract,Customer,TO: Contract.contact_email; fallback Customer.email_id,0,activation._activate() after the signature commits (also when the trial was suspended — Reactivada is skipped then),No,Signature committed,Email Template rendered from code (saas/lifecycle_mail.py),A conta da {{ customer_name }} está activa — bem-vindo à MozEconomia Cloud,"{{ greeting }} A conta da {{ customer_name }} em {{ site_name }} é agora definitiva. Tudo o que registou continua exactamente onde estava — nada foi migrado, nada se perdeu. Entrar na minha conta Plano {{ plan }} Início da facturação {{ billing_start or 'hoje' }} A primeira factura chega a este email em {{ billing_start or 'breve' }}, com 7 dias de prazo. Pagamento por transferência bancária (ABSA, NIB 000200151510200470737) ou E-Mola (+258 87 4444 645), sempre com o número da factura como referência. Precisa de mudar de plano ou de corrigir os dados de facturação? Responda a este email e tratamos no próprio dia. Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ signature }}"
Activation / onboarding,Customer / Lead,AI SaaS - Pós-Contrato Dia 3,Email,1,Contract,Customer,TO: contact_email; CC: billing contacts of the Customer,+3 from mz_billing_start,"Daily scheduler, Days After mz_billing_start",No,"doc.is_signed and doc.party_type == ""Customer"" and doc.status != ""Inactive"" and doc.mz_billing_start and (not doc.mz_account_phase or doc.mz_account_phase == ""Active"")",Frappe Notification (fixture),3 passos para tirar o máximo da MozEconomia Cloud esta semana,"{{ mz_greeting(doc.mz_contact_name) }} A conta da {{ doc.party_name }} está activa há 3 dias e já tem {{ n }} factura s . Três coisas que valem a pena fazer esta semana: Registar os pagamentos recebidos — em cada factura, Criar → Pagamento : o extracto de cada cliente fica em dia sozinho. Convidar a equipa — Configurações → Utilizadores : quem factura, quem vê relatórios, cada um com o seu acesso. Confirmar os dados fiscais — NUIT, endereço e logótipo em Configurações → Empresa : saem em todas as facturas. Entrar na minha conta 20 minutos connosco: configuramos consigo o que faltar, sem custo — marcar 20 minutos . Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature(doc.mz_account_manager) }}"
Activation / onboarding,Customer / Lead,AI SaaS - Pós-Contrato Dia 5,Email,1,Contract,Customer,TO: contact_email; CC: billing contacts of the Customer,+5 from mz_billing_start,"Daily scheduler, Days After mz_billing_start",No,"doc.is_signed and doc.party_type == ""Customer"" and doc.status != ""Inactive"" and doc.mz_billing_start and (not doc.mz_account_phase or doc.mz_account_phase == ""Active"")",Frappe Notification (fixture),Precisa de ajuda com alguma coisa?,"{{ mz_greeting(doc.mz_contact_name) }} Há 5 dias que a {{ doc.party_name }} trabalha na MozEconomia Cloud. Se algum passo — facturação, clientes, artigos, impostos, salários — estiver a dar trabalho, responda a este email com uma linha: tratamos hoje. Se preferir fazer connosco, sem custo: Marcar 20 minutos Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature(doc.mz_account_manager) }}"
Activation / onboarding,Customer / Lead,AI SaaS - Pós-Contrato Dia 33,Email,1,Contract,Customer,TO: contact_email; CC: billing contacts of the Customer,+33 from mz_billing_start,"Daily scheduler, Days After mz_billing_start",No,"doc.is_signed and doc.party_type == ""Customer"" and doc.status != ""Inactive"" and doc.mz_billing_start and (not doc.mz_account_phase or doc.mz_account_phase == ""Active"")",Frappe Notification (fixture),Completou o primeiro mês — o que achou?,"{{ mz_greeting(doc.mz_contact_name) }} Passou um mês desde que a {{ doc.party_name }} activou a MozEconomia Cloud. Neste tempo aprendeu uma plataforma nova, configurou a empresa e emitiu as primeiras facturas — isso dá trabalho, e sabemos disso. Gostaríamos muito de saber como foi. Responda a este email com a sua opinião — lemos tudo. Se algo não correu como esperava, ou se tem sugestões, este é o momento certo para nos dizer. Se preferir conversar: Marcar 20 minutos Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature(doc.mz_account_manager) }}"
Activation / onboarding,Internal (MozEconomia),Alerta: reactivação falhou após assinatura,Email,1,Contract,Internal,"TO: MZ SaaS Settings.ops_alert_recipients (fallback: Administrator email, else contacto@mozeconomia.co.mz)",0,/activar signed a suspended trial and reactivation raised,No,—,notify_ops (saas/activation.py),[MozEconomia Cloud] Reactivação falhou após assinatura: {{ contract }},Error text.
Billing,Customer / Lead,AI SaaS - Fatura Emitida,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,0,On document submit,Print: Fatura (MZ),doc.subscription and doc.is_return == 0,Frappe Notification (fixture),Fatura {{ doc.name }} — MozEconomia Cloud | {{ doc.customer_name }},"Prezado {{ doc.customer_name }}, Agradecemos pela confiança contínua na MozEconomia Cloud. Segue em anexo a fatura referente ao período do seu serviço. Número da Fatura: {{ doc.name }} Data de Emissão: {{ frappe.format_date(doc.posting_date) }} Vencimento: {{ frappe.format_date(doc.due_date) }} Valor Total: {{ frappe.format_value(doc.grand_total, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} (IVA incluído) O pagamento garante a continuidade do acesso ao software, suporte técnico e actualizações automáticas. Como Pagar: Transferência Bancária Banco: ABSA Moçambique Conta: 0015102004707 | NIB: 000200151510200470737 Referência: {{ doc.name }} E-Mola Número: +258 87 4444 645 Referência: {{ doc.name }} Após o pagamento, por favor envie o comprovativo por WhatsApp (+258 87 4444 645) ou escreva-nos para cloud@mozeconomia.co.mz — confirmaremos de imediato. Estamos à disposição para qualquer esclarecimento. Com boas energias, Equipa MozEconomia Cloud"
Billing,Customer / Lead,AI SaaS - Nota de Crédito,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,0,On document submit,Print: Nota de Crédito (MZ),doc.is_return == 1 and not doc.is_pos,Frappe Notification (fixture),Nota de Crédito {{ doc.name }} — MozEconomia Cloud | {{ doc.customer_name }},"Prezado(a) {{ doc.customer_name }}, Emitimos a seu favor a nota de crédito {{ doc.name }} , que segue em anexo. Este documento anula a fatura {{ doc.return_against }} . Nada há a pagar relativamente a essa fatura. Trata-se de um crédito a seu favor, sem qualquer valor a pagar da sua parte. Nota de Crédito: {{ doc.name }} Fatura anulada: {{ doc.return_against }} Data de Emissão: {{ frappe.format_date(doc.posting_date) }} Valor Creditado: {{ frappe.format_value(doc.grand_total|abs, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} (IVA incluído) Não é necessária qualquer ação da sua parte. O documento destina-se apenas ao seu arquivo contabilístico. Se tiver alguma dúvida sobre este crédito, responda a este email ou contacte-nos pelo WhatsApp +258 87 4444 645 — esclarecemos de imediato. Com os melhores cumprimentos, Equipa MozEconomia Cloud"
Billing,Customer / Lead,AI SaaS - Recibo de Pagamento,Email,1,Payment Entry,Customer,TO: contact_email,0,On document submit,Print: Entrada de Pagamento (MZ),"doc.payment_type == ""Receive"" and doc.party_type == ""Customer""",Frappe Notification (fixture),Recibo de Pagamento {{ doc.name }} — MozEconomia Cloud | {{ doc.party_name }},"Prezados ( {{ party_name }} ), Sauda&ccedil;&otilde;es cordiais. Agradecemos imensamente pelo pagamento referente &agrave; fatura {{ doc.references[0].reference_name }} referente &agrave;s faturas {{ ref.reference_name }} , . Em anexo, segue o recibo de pagamento comprovativo da transa&ccedil;&atilde;o: Recibo: {{ doc.name }} Valor: {{ frappe.format_value(doc.paid_amount, {""fieldtype"": ""Currency"", ""currency"": doc.paid_from_account_currency}) }} Data: {{ frappe.format_date(doc.posting_date) }} Forma de Pagamento: {{ doc.mode_of_payment }} Refer&ecirc;ncia: {{ doc.reference_no }} Estamos sempre dispon&iacute;veis via WhatsApp (+258 87 4444 645) ou email para apoiar em cada etapa. Muito obrigado pela confian&ccedil;a. Com boas energias, Equipa MozEconomia Cloud Telefone: +258 87 4444 645 Email: cloud@mozeconomia.co.mz Website: mozeconomia.co.mz MOZ ECONOMIA S.A. &bull; Solu&ccedil;&otilde;es de contabilidade e gest&atilde;o empresarial."
Billing,Customer / Lead,AI SaaS - SMS Fatura Emitida,SMS,1,Sales Invoice,Customer,TO: contact_mobile,0,On document submit,No,doc.subscription and not doc.is_return and doc.outstanding_amount > 0 and doc.contact_mobile,Frappe Notification (fixture),Factura {{ doc.name }} aguarda pagamento,"MozEconomia Cloud: Factura {{ doc.name }} no valor de {{ frappe.utils.fmt_money(doc.outstanding_amount, currency=doc.currency) }} aguarda pagamento. Vencimento: {{ frappe.utils.formatdate(doc.due_date, 'dd-MM-yyyy') }}. Obrigado."
Billing,Customer / Lead,aviso de faturação,Email,1,Subscription,Customer,TO: contract.contact_email,-N days from current_invoice_end (MZ SaaS Settings.prebilling_reminder_days),Daily billing_monitor.flag_overdue_customers,No,Active subscription whose next invoice is N days away,frappe.sendmail from code (billing_monitor._send_prebilling_email),Aviso de Faturação — A sua fatura será emitida em {{ lead_days }} dias | MozEconomia Cloud,"Prezado {customer_name}, Informamos que a sua fatura referente ao período {start} — {end} será emitida em {lead_days} dias . Período de Serviço: {start} — {end} {amount_text} Assim que a fatura for emitida, receberá o documento em anexo no email habitual. O prazo de pagamento é de 7 dias após a emissão. Para qualquer esclarecimento, estamos sempre disponíveis: WhatsApp: +258 87 4444 645 Email: contacto@mozeconomia.co.mz Com boas energias, Equipa MozEconomia Cloud"
Billing,Internal (MozEconomia),Alerta: política do agendador não aplicada,Email,1,Contract,Internal,"TO: MZ SaaS Settings.ops_alert_recipients (fallback: Administrator email, else contacto@mozeconomia.co.mz)",0,contract_lifecycle.on_contract_signed could not apply scheduler policy,No,—,notify_ops (saas/contract_lifecycle.py),[MozEconomia Cloud] Política do agendador não aplicada: {{ contract }},Error text.
Dunning,Customer / Lead,AI SaaS - SMS Vencimento Hoje,SMS,1,Sales Invoice,Customer,TO: contact_mobile,-0 from due_date,"Daily scheduler, Days Before due_date",No,doc.subscription and doc.outstanding_amount > 0 and not doc.is_return and doc.contact_mobile,Frappe Notification (fixture),SMS Vencimento Hoje,"MozEconomia Cloud: a factura {{ doc.name }} de {{ frappe.utils.fmt_money(doc.outstanding_amount, currency=doc.currency) }} vence hoje. E-Mola 87 4444 645 (ref. {{ doc.name }}) ou transferencia com os dados da factura enviada por email."
Dunning,Customer / Lead,AI SaaS - Aviso de Suspensão,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,+1 from due_date,"Daily scheduler, Days After due_date",Print: Fatura (MZ),doc.subscription and doc.outstanding_amount > 0 and doc.is_return == 0,Frappe Notification (fixture),Factura {{ doc.name }} venceu ontem — MozEconomia Cloud,"Prezado(a) {{ doc.contact_display or doc.customer_name }}, A factura {{ doc.name }} venceu ontem, {{ frappe.format_date(doc.due_date) }}, e ainda não registámos qualquer pagamento. Valor em Dívida: {{ frappe.format_value(doc.outstanding_amount, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} Vencimento: {{ frappe.format_date(doc.due_date) }} Sem regularização, o acesso à sua conta MozEconomia Cloud será suspenso em {{ frappe.format_date(frappe.utils.add_days(doc.due_date, 33)) }} — 33 dias após o vencimento. Até lá o serviço continua disponível, e os seus dados ficam sempre intactos. Para evitar qualquer interrupção, efectue o pagamento nos próximos dias e envie-nos o comprovativo: Transferência Bancária — ABSA Moçambique | NIB: 000200151510200470737 | Referência: {{ doc.name }} E-Mola — +258 87 4444 645 | Referência: {{ doc.name }} WhatsApp: +258 87 4444 645 | Email: contacto@mozeconomia.co.mz Após a confirmação do pagamento nada muda: o serviço continua sem interrupção. Com os melhores cumprimentos, Equipa MozEconomia Cloud"
Dunning,Customer / Lead,AI SaaS - Lembrete 2,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,+4 from posting_date,"Daily scheduler, Days After posting_date",Print: Fatura (MZ),doc.subscription and doc.outstanding_amount > 0 and doc.is_return == 0,Frappe Notification (fixture),Lembrete: Factura {{ doc.name }} vence em 3 dias — MozEconomia Cloud,"Prezado(a) {{ doc.contact_display or doc.customer_name }}, A factura {{ doc.name }} vence em 3 dias , a {{ frappe.format_date(doc.due_date) }}. Valor a Pagar: {{ frappe.format_value(doc.outstanding_amount, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} Data Limite: {{ frappe.format_date(doc.due_date) }} Para garantir a continuidade do seu serviço sem interrupções, pedimos que proceda ao pagamento antes da data limite. Transferência Bancária — ABSA Moçambique | NIB: 000200151510200470737 | Referência: {{ doc.name }} E-Mola — +258 87 4444 645 | Referência: {{ doc.name }} Após o pagamento, envie-nos o comprovativo por WhatsApp (+258 87 4444 645) ou escreva-nos para contacto@mozeconomia.co.mz — confirmaremos de imediato. Com os melhores cumprimentos, Equipa MozEconomia Cloud"
Dunning,Customer / Lead,AI SaaS - Aviso de Atraso 7 dias,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,+7 from due_date,"Daily scheduler, Days After due_date",Print: Fatura (MZ),doc.subscription and doc.outstanding_amount > 0 and doc.is_return == 0,Frappe Notification (fixture),Factura {{ doc.name }} em atraso há 7 dias — MozEconomia Cloud,"Prezado(a) {{ doc.contact_display or doc.customer_name }}, A factura {{ doc.name }} venceu a {{ frappe.format_date(doc.due_date) }} — há 7 dias — e ainda não registámos qualquer pagamento. Valor em Dívida: {{ frappe.format_value(doc.outstanding_amount, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} Vencimento: {{ frappe.format_date(doc.due_date) }} Sem regularização, o acesso à sua conta MozEconomia Cloud será suspenso em {{ frappe.format_date(frappe.utils.add_days(doc.due_date, 33)) }} — 33 dias após o vencimento. Até lá o serviço continua disponível, e os seus dados ficam sempre intactos. Para evitar a suspensão, efectue o pagamento esta semana e envie-nos o comprovativo. Se já pagou, basta responder a este email com o comprovativo: Transferência Bancária — ABSA Moçambique | NIB: 000200151510200470737 | Referência: {{ doc.name }} E-Mola — +258 87 4444 645 | Referência: {{ doc.name }} WhatsApp: +258 87 4444 645 | Email: contacto@mozeconomia.co.mz Após a confirmação do pagamento nada muda: o serviço continua sem interrupção. Com os melhores cumprimentos, Equipa MozEconomia Cloud"
