Category,Audience,Name,Channel,Enabled,Document,Recipient Type,Recipient Field / Role,Day,Trigger,Attachment,Sending Conditions,Implementation,Subject,Current Message (plain text)
Trial,Customer / Lead,AI SaaS - SMS Trial Hoje,SMS,1,Contract,Customer,TO: mz_contact_mobile,-0 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.mz_contact_mobile",Frappe Notification (fixture),SMS Trial Hoje,MozEconomia Cloud: o periodo experimental da {{ doc.party_name }} termina hoje. Active e continue sem interrupcao: {{ get_activation_url(doc.name) }} Duvidas: WhatsApp 87 4444 645
Trial,Customer / Lead,AI SaaS - Trial - Hoje,Email,1,Contract,Customer,TO: contact_email,-0 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),Hoje: o seu período experimental termina,"Olá {{ doc.party_name }}, Hoje termina o período experimental da sua conta {{ doc.mz_tenant_url }}. Sem activação, o acesso é suspenso amanhã de manhã. [SE invoiced:] Tem facturas emitidas nesta conta. [FIM] Nada se perde com a suspensão, mas tudo pára. Active agora, ou fale connosco — respondemos hoje. Activar a minha conta Marcar uma chamada A sua conta: {{ doc.mz_tenant_url }} · Activar não custa nada — a facturação só começa em {{ frappe.format_date(doc.start_date) }}. cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Equipa MozEconomia Cloud"
Trial,Customer / Lead,AI SaaS - Trial - Primeira factura,Email,1,Contract,Customer,TO: contact_email,+2 from creation,"Daily scheduler, Days After creation",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),A sua primeira factura em 5 minutos,"Olá {{ doc.party_name }}, A conta da {{ doc.party_name }} está pronta em {{ doc.mz_tenant_url }} . A forma mais rápida de ver o que o MozEconomia Cloud faz por si é emitir a primeira factura hoje — leva 5 minutos: Entrar → Vendas → Factura de Venda → Nova. Escolha o cliente (pode criá-lo na hora), o artigo, a quantidade e o preço. Guardar e Submeter. A factura sai com o QR de validação, pronta a enviar por email ou imprimir. Quando o cliente pagar, registe o pagamento em dois cliques e o extracto fica em dia sozinho. Emitir a primeira factura Fazer consigo em 20 min Tem até {{ frappe.format_date(doc.start_date) }} para experimentar tudo. Nada do que registar se perde quando activar. cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Equipa MozEconomia Cloud"
Trial — usage signals,Internal (MozEconomia),Relatório diário de utilização dos trials,Email,1,MZ Tenant Usage Snapshot,Internal,TO: MZ SaaS Settings.usage_report_recipients; fallback default_sales_user email; fallback ops_alert_recipients,"daily, after the sweep",End of the daily (unscoped) usage sweep; also manual: bench execute ai_saas.saas.usage_signals.send_daily_usage_report,No,At least one trial snapshot for the day,frappe.sendmail from code + templates/emails/daily_usage_report.html,Trials {{ date }}: N activos · X quentes · Y a arrefecer · Z frios,Relatório diário de utilização dos trials — {{ date }}. N trial(s) em curso · X quente(s) · Y a arrefecer · Z frio(s). Tabela: Empresa (link à Oportunidade) + site · Termina em · Dias · Facturas · Dias c/ fact. (7d) · Utiliz. activos (7d) · Dados próprios · Outros docs (30d) · Último login · Pontos · Sinal · Responsável. Linhas sem leitura mostram o erro. Rodapé explica Quente / A arrefecer / Frio.
Trial — usage signals,Internal (MozEconomia),Sinal: Lead a arrefecer,ToDo (desk) + Email,1,Opportunity,Internal,"allocated_to: Opportunity assignee, else default_sales_user — email to that user's address",daily,"evaluate_signals → Cooling (was active, 7+ days no login, no invoice this week)",No,Stage changed to 'Cloud - Trial At Risk',ToDo insert + frappe.sendmail (saas/crm.py),[MozEconomia Cloud] [Lead a arrefecer] {{ party_name }},[Lead a arrefecer] {{ party_name }} esteve activo e parou: sem login há 7+ dias e sem facturas esta semana (trial termina em {{ start_date }}). Contactar antes que expire.
Trial — usage signals,Internal (MozEconomia),Sinal: Lead frio,ToDo (desk) + Email,1,Opportunity,Internal,"allocated_to: Opportunity assignee, else default_sales_user — email to that user's address",daily,"evaluate_signals → Cold (past trial midpoint, no invoice, no own master data)",No,Stage changed to 'Cloud - Trial At Risk',ToDo insert + frappe.sendmail (saas/crm.py),[MozEconomia Cloud] [Lead frio] {{ party_name }},[Lead frio] {{ party_name }} está a meio do trial (termina em {{ start_date }}) sem nenhum login nem factura. Contactar antes que expire.
Trial — usage signals,Internal (MozEconomia),Sinal: Lead quente,ToDo (desk) + Email,1,Opportunity,Internal,"allocated_to: Opportunity assignee, else MZ SaaS Settings.default_sales_user — email to that user's address",daily,usage_signals.evaluate_signals → Engaged (score ≥ 3),No,Stage changed to 'Cloud - Trial Engaged'; one open ToDo per marker,ToDo insert + frappe.sendmail (saas/crm.py),[MozEconomia Cloud] [Lead quente] {{ party_name }},[Lead quente] {{ party_name }} está a usar o sistema a sério ({{ points }} pontos): {{ reasons }}. Contactar para activação.
Activation / onboarding,Customer / Lead,MozEconomia Cloud - Conta Activada,Email,1,Contract,Customer,TO: Contract.contact_email; fallback Customer.email_id,0,activation._activate() after the signature commits (also when the trial was suspended — Reactivada is skipped then),No,Signature committed,Email Template rendered from code (saas/lifecycle_mail.py),A conta da {{ customer_name }} está activa — bem-vindo à MozEconomia Cloud,"Olá {{ customer_name }}, A conta da {{ customer_name }} em {{ site_name }} é agora definitiva. Tudo o que registou continua exactamente onde estava — nada foi migrado, nada se perdeu. Entrar na minha conta <site_url>. Plano: {{ plan }}. Início da facturação: {{ billing_start }}. A primeira factura chega a este email em {{ billing_start }}, com 7 dias de prazo. Pagamento por transferência bancária (ABSA, NIB 000200151510200470737) ou E-Mola (+258 87 4444 645), sempre com o número da factura como referência. Precisa de mudar de plano ou de corrigir os dados de facturação? Responda a este email e tratamos no próprio dia. (footer)"
Activation / onboarding,Customer / Lead,AI SaaS - Pós-Contrato Dia 3,Email,1,Contract,Customer,TO: contact_email; CC: billing contacts of the Customer,+3 from mz_billing_start,"Daily scheduler, Days After mz_billing_start",No,"doc.is_signed and doc.party_type == ""Customer"" and doc.status != ""Inactive"" and doc.mz_billing_start and (not doc.mz_account_phase or doc.mz_account_phase == ""Active"")",Frappe Notification (fixture),Já emitiu a sua primeira fatura? Estamos aqui para ajudar,"Olá {{ customer_name }} , Já passaram 3 dias desde que activou o MozEconomia Cloud . Queremos ter a certeza de que correu tudo bem. Se ainda não emitiu a primeira fatura, ou se encontrou alguma dificuldade no registo de produtos, clientes ou configurações — estamos disponíveis para ajudar agora mesmo. Basta escrever para cloud@mozeconomia.co.mz . Se preferir, marcamos 20 minutos e configuramos consigo o que faltar — sem custo: Marcar 20 minutos connosco Com os melhores cumprimentos, A equipa MozEconomia Cloud [SE company_doc and company_doc.company_logo:] [SENÃO:] [FIM] Telefone: +258 87 4444 645 Email: cloud@mozeconomia.co.mz Website: mozeconomia.co.mz MOZ ECONOMIA S.A. • Soluções de contabilidade e gestão empresarial."
Activation / onboarding,Customer / Lead,AI SaaS - Pós-Contrato Dia 5,Email,1,Contract,Customer,TO: contact_email; CC: billing contacts of the Customer,+5 from mz_billing_start,"Daily scheduler, Days After mz_billing_start",No,"doc.is_signed and doc.party_type == ""Customer"" and doc.status != ""Inactive"" and doc.mz_billing_start and (not doc.mz_account_phase or doc.mz_account_phase == ""Active"")",Frappe Notification (fixture),Ainda há algo em que possamos ajudar?,"Olá {{ customer_name }} , Queremos garantir que a activação do MozEconomia Cloud está a correr sem problemas. Uma dica rápida que ajuda muitos clientes nesta fase: antes de emitir a primeira fatura, vale a pena verificar se os dados da empresa (NUIT, endereço fiscal e logótipo) estão correctos em Configurações → Empresa . Evita correcções depois. Se precisar de apoio para qualquer passo — faturação, clientes, produtos ou impostos — escreva-nos para cloud@mozeconomia.co.mz . A nossa equipa trata do assunto. Se preferir fazer connosco, marque 20 minutos — sem custo: Marcar 20 minutos connosco Com os melhores cumprimentos, A equipa MozEconomia Cloud [SE company_doc and company_doc.company_logo:] [SENÃO:] [FIM] Telefone: +258 87 4444 645 Email: cloud@mozeconomia.co.mz Website: mozeconomia.co.mz MOZ ECONOMIA S.A. • Soluções de contabilidade e gestão empresarial."
Activation / onboarding,Customer / Lead,AI SaaS - Pós-Contrato Dia 33,Email,1,Contract,Customer,TO: contact_email; CC: billing contacts of the Customer,+33 from mz_billing_start,"Daily scheduler, Days After mz_billing_start",No,"doc.is_signed and doc.party_type == ""Customer"" and doc.status != ""Inactive"" and doc.mz_billing_start and (not doc.mz_account_phase or doc.mz_account_phase == ""Active"")",Frappe Notification (fixture),Completou o primeiro mês — o que achou?,"Olá {{ customer_name }} , Passou um mês desde que activou o MozEconomia Cloud . Neste tempo esteve a aprender uma nova plataforma, a configurar a sua empresa e a emitir as primeiras faturas — isso dá trabalho, e sabemos disso. Gostaríamos muito de saber como foi a experiência. Responda a este email com a sua opinião — lemos tudo — ou, se preferir conversar, marque 20 minutos connosco: Marcar 20 minutos connosco Se houver algo que não correu como esperava, ou se tiver sugestões — este é o momento certo para nos dizer. Lemos todas as respostas. Com os melhores cumprimentos, A equipa MozEconomia Cloud [SE company_doc and company_doc.company_logo:] [SENÃO:] [FIM] Telefone: +258 87 4444 645 Email: cloud@mozeconomia.co.mz Website: mozeconomia.co.mz MOZ ECONOMIA S.A. • Soluções de contabilidade e gestão empresarial."
Activation / onboarding,Internal (MozEconomia),Alerta: reactivação falhou após assinatura,Email,1,Contract,Internal,"TO: MZ SaaS Settings.ops_alert_recipients (fallback: Administrator email, else contacto@mozeconomia.co.mz)",0,/activar signed a suspended trial and reactivation raised,No,—,notify_ops (saas/activation.py),[MozEconomia Cloud] Reactivação falhou após assinatura: {{ contract }},Error text.
Billing,Customer / Lead,AI SaaS - Fatura Emitida,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,0,On document submit,Print: Fatura (MZ),doc.subscription and doc.is_return == 0,Frappe Notification (fixture),Fatura {{ doc.name }} — MozEconomia Cloud | {{ doc.customer_name }},"Prezado {{ doc.customer_name }}, Agradecemos pela confiança contínua na MozEconomia Cloud. Segue em anexo a fatura referente ao período do seu serviço. Número da Fatura: {{ doc.name }} Data de Emissão: {{ frappe.format_date(doc.posting_date) }} Vencimento: {{ frappe.format_date(doc.due_date) }} Valor Total: {{ frappe.format_value(doc.grand_total, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} (IVA incluído) O pagamento garante a continuidade do acesso ao software, suporte técnico e actualizações automáticas. Como Pagar: Transferência Bancária Banco: ABSA Moçambique Conta: 0015102004707 | NIB: 000200151510200470737 Referência: {{ doc.name }} E-Mola Número: +258 87 4444 645 Referência: {{ doc.name }} Após o pagamento, por favor envie o comprovativo por WhatsApp (+258 87 4444 645) ou escreva-nos para cloud@mozeconomia.co.mz — confirmaremos de imediato. Estamos à disposição para qualquer esclarecimento. Com boas energias, Equipa MozEconomia Cloud"
Billing,Customer / Lead,AI SaaS - Nota de Crédito,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,0,On document submit,Print: Nota de Crédito (MZ),doc.is_return == 1 and not doc.is_pos,Frappe Notification (fixture),Nota de Crédito {{ doc.name }} — MozEconomia Cloud | {{ doc.customer_name }},"Prezado(a) {{ doc.customer_name }}, Emitimos a seu favor a nota de crédito {{ doc.name }} , que segue em anexo. [SE doc.return_against:] Este documento anula a fatura {{ doc.return_against }} . Nada há a pagar relativamente a essa fatura. [SENÃO:] Trata-se de um crédito a seu favor, sem qualquer valor a pagar da sua parte. [FIM] Nota de Crédito: {{ doc.name }} [SE doc.return_against:] Fatura anulada: {{ doc.return_against }} [FIM] Data de Emissão: {{ frappe.format_date(doc.posting_date) }} Valor Creditado: {{ frappe.format_value(doc.grand_total|abs, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} (IVA incluído) Não é necessária qualquer ação da sua parte. O documento destina-se apenas ao seu arquivo contabilístico. Se tiver alguma dúvida sobre este crédito, responda a este email ou contacte-nos pelo WhatsApp +258 87 4444 645 — esclarecemos de imediato. Com os melhores cumprimentos, Equipa MozEconomia Cloud"
Billing,Customer / Lead,AI SaaS - Recibo de Pagamento,Email,1,Payment Entry,Customer,TO: contact_email,0,On document submit,Print: Entrada de Pagamento (MZ),"doc.payment_type == ""Receive"" and doc.party_type == ""Customer""",Frappe Notification (fixture),Recibo de Pagamento {{ doc.name }} — MozEconomia Cloud | {{ doc.party_name }},"Prezados ( {{ party_name }} ), Saudações cordiais. Agradecemos imensamente pelo pagamento [SE doc.references:] [SE doc.references | length == 1:] referente à fatura {{ doc.references[0].reference_name }} [SENÃO:] referente às faturas {% for ref in doc.references %}{{ ref.reference_name }} [SE not loop.last:] , [FIM] {% endfor %} [FIM] [FIM] . Em anexo, segue o recibo de pagamento comprovativo da transação: Recibo: {{ doc.name }} Valor: {{ frappe.format_value(doc.paid_amount, {""fieldtype"": ""Currency"", ""currency"": doc.paid_from_account_currency}) }} Data: {{ frappe.format_date(doc.posting_date) }} [SE doc.mode_of_payment:] Forma de Pagamento: {{ doc.mode_of_payment }} [FIM] [SE doc.reference_no:] Referência: {{ doc.reference_no }} [FIM] Estamos sempre disponíveis via WhatsApp (+258 87 4444 645) ou email para apoiar em cada etapa. Muito obrigado pela confiança. Com boas energias, Equipa MozEconomia Cloud [SE company_doc and company_doc.company_logo:] [SENÃO:] [FIM] Telefone: +258 87 4444 645 Email: cloud@mozeconomia.co.mz Website: mozeconomia.co.mz MOZ ECONOMIA S.A. • Soluções de contabilidade e gestão empresarial."
Billing,Customer / Lead,AI SaaS - SMS Fatura Emitida,SMS,1,Sales Invoice,Customer,TO: contact_mobile,0,On document submit,No,doc.subscription and not doc.is_return and doc.outstanding_amount > 0 and doc.contact_mobile,Frappe Notification (fixture),Factura {{ doc.name }} aguarda pagamento,"MozEconomia Cloud: Factura {{ doc.name }} no valor de {{ frappe.utils.fmt_money(doc.outstanding_amount, currency=doc.currency) }} aguarda pagamento. Vencimento: {{ frappe.utils.formatdate(doc.due_date, 'dd-MM-yyyy') }}. Obrigado."
Billing,Customer / Lead,aviso de faturação,Email,1,Subscription,Customer,TO: contract.contact_email,-N days from current_invoice_end (MZ SaaS Settings.prebilling_reminder_days),Daily billing_monitor.flag_overdue_customers,No,Active subscription whose next invoice is N days away,frappe.sendmail from code (billing_monitor._send_prebilling_email),Aviso de Faturação — A sua fatura será emitida em {{ lead_days }} dias | MozEconomia Cloud,"Prezado {customer_name}, Informamos que a sua fatura referente ao período {start} — {end} será emitida em {lead_days} dias . Período de Serviço: {start} — {end} {amount_text} Assim que a fatura for emitida, receberá o documento em anexo no email habitual. O prazo de pagamento é de 7 dias após a emissão. Para qualquer esclarecimento, estamos sempre disponíveis: WhatsApp: +258 87 4444 645 Email: contacto@mozeconomia.co.mz Com boas energias, Equipa MozEconomia Cloud"
Billing,Internal (MozEconomia),Alerta: política do agendador não aplicada,Email,1,Contract,Internal,"TO: MZ SaaS Settings.ops_alert_recipients (fallback: Administrator email, else contacto@mozeconomia.co.mz)",0,contract_lifecycle.on_contract_signed could not apply scheduler policy,No,—,notify_ops (saas/contract_lifecycle.py),[MozEconomia Cloud] Política do agendador não aplicada: {{ contract }},Error text.
Dunning,Customer / Lead,AI SaaS - SMS Vencimento Hoje,SMS,1,Sales Invoice,Customer,TO: contact_mobile,-0 from due_date,"Daily scheduler, Days Before due_date",No,doc.subscription and doc.outstanding_amount > 0 and not doc.is_return and doc.contact_mobile,Frappe Notification (fixture),SMS Vencimento Hoje,"MozEconomia Cloud: a factura {{ doc.name }} de {{ frappe.utils.fmt_money(doc.outstanding_amount, currency=doc.currency) }} vence hoje. Transferencia ABSA NIB 000200151510200470737 ou E-Mola 87 4444 645, ref. {{ doc.name }}."
Dunning,Customer / Lead,AI SaaS - Aviso de Suspensão,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,+1 from due_date,"Daily scheduler, Days After due_date",Print: Fatura (MZ),doc.subscription and doc.outstanding_amount > 0 and doc.is_return == 0,Frappe Notification (fixture),Fatura {{ doc.name }} em atraso — evite a suspensão da sua conta,"Prezado {{ doc.customer_name }}, A fatura {{ doc.name }} venceu ontem, {{ frappe.format_date(doc.due_date) }}, e ainda não registámos qualquer pagamento. Valor em Dívida: {{ frappe.format_value(doc.outstanding_amount, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} Vencimento: {{ frappe.format_date(doc.due_date) }} Sem regularização, o acesso à sua conta MozEconomia Cloud será suspenso em {{ frappe.format_date(frappe.utils.add_days(doc.due_date, 33)) }} — 33 dias após o vencimento. Até lá o serviço continua disponível, e os seus dados ficam sempre intactos. Para evitar qualquer interrupção, efectue o pagamento nos próximos dias e envie-nos o comprovativo: Transferência Bancária — ABSA Moçambique | NIB: 000200151510200470737 | Referência: {{ doc.name }} E-Mola — +258 87 4444 645 | Referência: {{ doc.name }} WhatsApp: +258 87 4444 645 | Email: contacto@mozeconomia.co.mz Após a confirmação do pagamento nada muda: o serviço continua sem interrupção. Com os melhores cumprimentos, Equipa MozEconomia Cloud"
Dunning,Customer / Lead,AI SaaS - Lembrete 2,Email,1,Sales Invoice,Customer,TO: contact_email; CC: billing contacts of the Customer,+4 from posting_date,"Daily scheduler, Days After posting_date",Print: Fatura (MZ),doc.subscription and doc.outstanding_amount > 0 and doc.is_return == 0,Frappe Notification (fixture),Lembrete: Fatura {{ doc.name }} vence em 3 dias — MozEconomia Cloud,"Prezado {{ doc.customer_name }}, A fatura {{ doc.name }} vence em 3 dias , a {{ frappe.format_date(doc.due_date) }}. Valor a Pagar: {{ frappe.format_value(doc.outstanding_amount, {""fieldtype"": ""Currency"", ""currency"": doc.currency}) }} Data Limite: {{ frappe.format_date(doc.due_date) }} Para garantir a continuidade do seu serviço sem interrupções, pedimos que proceda ao pagamento antes da data limite. Transferência Bancária — ABSA Moçambique | NIB: 000200151510200470737 | Referência: {{ doc.name }} E-Mola — +258 87 4444 645 | Referência: {{ doc.name }} Após o pagamento, envie-nos o comprovativo por WhatsApp (+258 87 4444 645) ou escreva-nos para cloud@mozeconomia.co.mz — confirmaremos de imediato. Com boas energias, Equipa MozEconomia Cloud"
